test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
_oo_,"book
",[0.046296296296296294],[-0.3],[1],[0],[0],[4.75184389995411],['text_3'],345326,1,2022-10-20_11h15.22.028,tutorial5,2022.2.4,60.00826915
_ia_n_,piano,[0.03333333333333333],[-0.29907407407407405],[1],[0],[0],[3.6771251000463963],['text_3'],345326,1,2022-10-20_11h15.22.028,tutorial5,2022.2.4,60.00826915
_ea_o_,,[],[],[],[],[],[],[],345326,1,2022-10-20_11h15.22.028,tutorial5,2022.2.4,60.00826915
c_m_r_,camera,[-0.012962962962962963],[-0.2796296296296296],[1],[0],[0],[3.6954579999437556],['text_3'],345326,1,2022-10-20_11h15.22.028,tutorial5,2022.2.4,60.00826915
t_g_r,tiger,[0.040740740740740744],[-0.3101851851851852],[1],[0],[0],[3.5752757000736892],['text_3'],345326,1,2022-10-20_11h15.22.028,tutorial5,2022.2.4,60.00826915
_p_a_d_,,[-0.024074074074074074],[-0.3055555555555556],[1],[0],[0],[9.054158099927008],['text_3'],345326,1,2022-10-20_11h15.22.028,tutorial5,2022.2.4,60.00826915
_o_s_,,[],[],[],[],[],[],[],345326,1,2022-10-20_11h15.22.028,tutorial5,2022.2.4,60.00826915
o_a_n_e,orange,[-0.12222222222222222],[-0.3212962962962963],[1],[0],[0],[5.2285515000112355],['text_3'],345326,1,2022-10-20_11h15.22.028,tutorial5,2022.2.4,60.00826915
_a_e,vase,[-0.06851851851851852],[-0.3037037037037037],[1],[0],[0],[4.809118499979377],['text_3'],345326,1,2022-10-20_11h15.22.028,tutorial5,2022.2.4,60.00826915
c_s_h_o_n,cushion,[],[],[],[],[],[],[],345326,1,2022-10-20_11h15.22.028,tutorial5,2022.2.4,60.00826915
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Probability hit from  Study list,,,5,0.5,,,,,,,
,,,Probability hit from  test words,,,2,0.2,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Priming Number = ,,0.3,,,,,,,
